id,item_id,normalized,skewed_up,skewed_down,polarized
131427,131423,[0.     0.     0.     0.0625 0.     0.3125 0.25   0.125  0.     0.25  ],2.6249979375,6.3750020625,3.1250008125
129011,129008,[0.     0.     0.     0.     0.0625 0.5    0.0625 0.     0.125  0.25  ],2.6249979375,6.3750020625,3.0000009375
143841,143834,[0.    0.    0.    0.    0.125 0.25  0.125 0.25  0.125 0.125],2.6249985000000002,6.3750015,3.1250002500000003
133600,133586,[0.    0.    0.    0.    0.125 0.25  0.25  0.    0.25  0.125],2.6249985000000002,6.3750015,3.1250002500000003
130983,130982,[0.    0.    0.    0.    0.125 0.25  0.25  0.125 0.    0.25 ],2.6249985000000002,6.3750015,3.1250002500000003
132591,132578,[0.    0.    0.125 0.    0.    0.125 0.125 0.375 0.125 0.125],2.6249985000000002,6.3750015,3.1250002500000003
141535,141524,[0.    0.125 0.    0.    0.    0.25  0.    0.25  0.125 0.25 ],2.6249985000000002,6.3750015,2.62500075
144241,144233,[0.     0.     0.     0.     0.125  0.125  0.25   0.3125 0.125  0.0625],2.6249985000000002,6.3750015,3.375
137663,137660,"[0.         0.         0.         0.         0.         0.22222222
 0.37037037 0.2962963  0.03703704 0.07407407]",2.629624370373001,6.370366629627001,3.685180814811001
144220,144212,"[0.         0.         0.         0.05263158 0.         0.36842105
 0.         0.36842105 0.10526316 0.10526316]",2.631578842107,6.368421157893001,3.236841789471
142104,142091,"[0.         0.         0.         0.         0.         0.45454545
 0.         0.27272727 0.27272727 0.        ]",2.6363583636390002,6.363632636361,3.318177181815
132537,132536,"[0.         0.         0.         0.         0.         0.45454545
 0.         0.36363636 0.09090909 0.09090909]",2.6363583636390002,6.363632636361,3.318177181815
144055,144044,"[0.         0.         0.         0.         0.         0.36363636
 0.27272727 0.18181818 0.         0.18181818]",2.6363583636390002,6.363632636361,3.409087090905
129714,129701,"[0.         0.         0.         0.         0.         0.27272727
 0.36363636 0.18181818 0.09090909 0.09090909]",2.6363583636390002,6.363632636361,3.590904909087
130837,130835,"[0.         0.         0.         0.         0.         0.36363636
 0.18181818 0.27272727 0.09090909 0.09090909]",2.6363583636390002,6.363632636361,3.409087090905
127395,127391,"[0.         0.         0.         0.         0.         0.36363636
 0.27272727 0.09090909 0.18181818 0.09090909]",2.6363583636390002,6.363632636361,3.409087090905
127163,127160,"[0.         0.         0.         0.         0.         0.45454545
 0.18181818 0.09090909 0.09090909 0.18181818]",2.6363583636390002,6.363632636361,3.227269272723
139666,139655,"[0.         0.         0.         0.09090909 0.09090909 0.18181818
 0.09090909 0.27272727 0.09090909 0.18181818]",2.636360000001,6.363630999999,2.954539909089
133349,133334,"[0.         0.         0.         0.         0.         0.18181818
 0.27272727 0.54545455 0.         0.        ]",2.6363603636370003,6.363639636363,3.863637636363
141022,141020,"[0.         0.         0.         0.         0.         0.18181818
 0.27272727 0.54545455 0.         0.        ]",2.6363603636370003,6.363639636363,3.863637636363
140325,140306,"[0.         0.         0.         0.         0.         0.54545455
 0.         0.09090909 0.27272727 0.09090909]",2.636362363635,6.363637636365,3.1363663636349997
139994,139991,"[0.07142857 0.         0.         0.         0.14285714 0.07142857
 0.14285714 0.21428571 0.14285714 0.21428571]",2.642852285712001,6.357138714288001,2.7142818571440013
126066,126047,"[0.         0.         0.         0.07142857 0.         0.21428571
 0.21428571 0.35714286 0.         0.14285714]",2.6428539999960003,6.357140000001,3.285713571426
143878,143876,"[0.         0.         0.         0.         0.         0.23529412
 0.47058824 0.11764706 0.05882353 0.11764706]",2.647055352942,6.352944647058,3.67647082353
145907,145892,"[0.         0.         0.         0.         0.05882353 0.23529412
 0.23529412 0.35294118 0.         0.11764706]",2.647057882356,6.352942117644,3.441176529408
128106,128105,[0.   0.   0.   0.   0.   0.15 0.5  0.25 0.05 0.05],2.64999735,6.3500026499999995,3.8500006499999997
141371,141356,[0.   0.   0.   0.   0.05 0.25 0.3  0.2  0.1  0.1 ],2.6499978,6.3500022000000005,3.4500006
141131,141125,"[0.         0.         0.         0.         0.06896552 0.13793103
 0.4137931  0.20689655 0.10344828 0.06896552]",2.6551679655150004,6.344827034481001,3.6034462758599997
144650,144632,"[0.         0.         0.         0.16666667 0.         0.16666667
 0.16666667 0.16666667 0.16666667 0.16666667]",2.666658833325001,6.333329166669001,2.833331166666001
136581,136568,"[0.         0.         0.         0.         0.08333333 0.33333333
 0.08333333 0.33333333 0.         0.16666667]",2.666660083335001,6.333330916665001,3.166661583333001
131718,131717,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
136573,136568,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
142946,142931,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
138357,138353,"[0.         0.         0.         0.         0.         0.33333333
 0.22222222 0.22222222 0.22222222 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
127319,127307,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
132082,132074,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
138125,138122,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
142208,142196,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
134750,134741,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
129131,129113,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
129711,129701,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
137752,137744,"[0.         0.         0.         0.         0.         0.33333333
 0.11111111 0.44444444 0.11111111 0.        ]",2.666661333336,6.333329666664,3.611105888886
138843,138836,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
139585,139571,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
145500,145493,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
128678,128672,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
127456,127454,"[0.         0.         0.         0.         0.         0.44444444
 0.11111111 0.22222222 0.11111111 0.11111111]",2.666661333336,6.333329666664,3.277774222218
130741,130730,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
136283,136274,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.11111111 0.11111111 0.11111111]",2.666661333336,6.333329666664,3.4999959999960004
127421,127412,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
126879,126866,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
141064,141062,"[0.         0.         0.         0.         0.         0.33333333
 0.33333333 0.         0.33333333 0.        ]",2.666661333336,6.333329666664,3.4999959999960004
132821,132809,"[0.         0.         0.         0.         0.         0.5
 0.16666667 0.         0.16666667 0.16666667]",2.666661333336001,6.333334666668001,3.1666663333350007
125128,125123,"[0.         0.         0.         0.         0.         0.44444444
 0.22222222 0.11111111 0.         0.22222222]",2.666661333336001,6.333329666664001,3.277774222218001
134124,134111,"[0.         0.         0.         0.         0.         0.5
 0.16666667 0.         0.16666667 0.16666667]",2.666661333336001,6.333334666668001,3.1666663333350007
135213,135203,"[0.         0.         0.         0.04761905 0.         0.33333333
 0.0952381  0.33333333 0.0952381  0.0952381 ]",2.666661761907,6.333329238093,3.2618998095209997
140007,139991,"[0.         0.         0.         0.         0.04761905 0.14285714
 0.38095238 0.28571429 0.14285714 0.        ]",2.666661761907,6.333329238093,3.6904713809490004
143971,143960,"[0.         0.         0.         0.08333333 0.08333333 0.25
 0.16666667 0.08333333 0.08333333 0.25      ]",2.666661833331,6.333329166669,2.833330166667
145216,145199,"[0.         0.         0.         0.         0.16666667 0.33333333
 0.         0.16666667 0.16666667 0.16666667]",2.666661833331001,6.333333166665001,2.833332166665001
132647,132641,"[0.         0.         0.         0.         0.06666667 0.26666667
 0.13333333 0.4        0.06666667 0.06666667]",2.66666193333,6.3333330666659995,3.433331466666
134544,134531,"[0.         0.         0.         0.04166667 0.04166667 0.25
 0.25       0.20833333 0.04166667 0.16666667]",2.666662083333001,6.333331916664001,3.249997499997001
128321,128315,"[0.         0.         0.         0.         0.         0.33333333
 0.25       0.25       0.08333333 0.08333333]",2.666662333335,6.3333286666649995,3.4999969999950005
144441,144422,"[0.         0.         0.         0.         0.11111111 0.33333333
 0.11111111 0.22222222 0.         0.22222222]",2.666662333335,6.3333286666649995,3.055551444441
141489,141482,"[0.         0.         0.         0.         0.11111111 0.22222222
 0.22222222 0.22222222 0.11111111 0.11111111]",2.666662333335,6.3333286666649995,3.277773222219
132710,132704,"[0.         0.         0.         0.11111111 0.         0.22222222
 0.22222222 0.22222222 0.         0.22222222]",2.666662333335,6.3333286666649995,3.055551444441
